country,iso,gdp,population,medianage,,
Singapore,SGP,90919,5866139,38,,
Qatar,QAT,87134,2479995,33.9,,
Luxembourg,LUX,84649,639589,39.6,,
Ireland,IRL,76169,5070166,39,,
United States,USA,70248,331900000,38.8,,
Switzerland,CHE,66933,8653376,43.6,,
Norway,NOR,64660,5410267,40.2,,
United Arab Emirates,ARE,62574,9856612,35.4,,
Denmark,DNK,60365,5894687,42.1,,
Netherlands,NLD,55979,17493062,42.4,,
Iceland,ISL,55782,354234,37.4,,
Germany,DEU,54534,84409193,46.6,,
Sweden,SWE,54489,10432235,40.9,,
Austria,AUT,53619,8884864,44.6,,
Kuwait,KWT,52920,3032065,29.8,,
Belgium,BEL,52293,11778842,41.6,,
Finland,FIN,49452,5587442,42.9,,
Australia,AUS,49238,25809973,37.6,,
Canada,CAN,46808,37943231,42,,
Saudi Arabia,SAU,46112,34783757,31.2,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
